text,label
Bone cancer is a malignant (cancerous) tumor of the bone that destroys normal bone tissue .,0
Not all bone tumors are malignant.,0
"In fact, benign (noncancerous) bone tumors are more common than malignant ones.",0
"Both malignant and benign bone tumors may grow and compress healthy bone tissue, but benign tumors do not spread, do not destroy bone tissue, and are rarely a threat to life.",0
Malignant tumors that begin in bone tissue are called primary bone cancer.,0
"Cancer that metastasizes (spreads) to the bones from other parts of the body, such as the breast, lung, or prostate, is called metastatic cancer, and is named for the organ or tissue in which it began.",0
Primary bone cancer is far less common than cancer that spreads to the bones.,0
Cancer can begin in any type of bone tissue. or fiber supplements.,0
"Bones are made up of osteoid (hard or compact), cartilaginous (tough, flexible), and fibrous (thread like) tissue, as well as elements of bone marrow (soft, spongy tissue in the center of most bones).",0
"Common types of primary bone cancer include: Osteosarcoma, which arises from osteoid tissue in the bone.",0
This tumor occurs most often in the knee and upper arm .,0
"Chondrosarcoma, which begins in cartilaginous tissue.",0
Cartilage pads the ends of bones and lines the joints.,0
"Chondrosarcoma occurs most often in the pelvis (located between the hip bones), upper leg, and shoulder",0
Sometimes a chondrosarcoma contains cancerous bone cells.,0
"In that case, doctors classify the tumor as an osteosarcoma.",0
"The Ewing Sarcoma Family of Tumors (ESFTs), which usually occur in bone but may also arise in soft tissue (muscle, fat, fibrous tissue, blood vessels, or other supporting tissue).",0
Scientists think that ESFTs arise from elements of primitive nerve tissue in the bone or soft tissue .,0
ESFTs occur most commonly along the backbone and pelvis and in the legs and arms .,0
Other types of cancer that arise in soft tissue are called soft tissue sarcomas.,0
They are not bone cancer and are not described in this resource.,0
(More information about these types of cancer is available in the NCI fact sheet Soft Tissue Sarcomas: Questions and Answers at ,0
Primary bone cancer is rare.,0
It accounts for much less than 1 percent of all cancers.,0
"About 2,300 new cases of primary bone cancer are diagnosed in the United States each year .",0
Different types of bone cancer are more likely to occur in certain populations: Osteosarcoma occurs most commonly between ages 10 and 19.,0
"However, people over age 40 who have other conditions, such as Paget disease (a benign condition characterized by abnormal development of new bone cells), are at increased risk of developing this cancer.",0
Chondrosarcoma occurs mainly in older adults (over age 40).,0
The risk increases with advancing age.,0
This disease rarely occurs in children and adolescents.,0
ESFTs occur most often in children and adolescents under 19 years of age.,0
Boys are affected more often than girls.,0
These tumors are extremely rare in African American children.,0
"Pain is the most common symptom of bone cancer, but not all bone cancers cause pain .",0
