text,label
"In rare cases, a facial nerve neuroma, vascular tumor, lipoma, or metastatic lesion is found within the cerebellopontine angle.",0
"Associated symptoms include dizziness, shortness of breath, sweating, headaches and chest pain.",0
They produce the botulinum toxin when exposed to low oxygen levels and certain temperatures.,0
"Not all heavy drinkers develop alcoholic hepatitis, and the disease can occur in people who drink only moderately.",0
"By definition, osteochondrosis is an aseptic ischemic necrosis.",0
"The condition is a medical emergency, the complications of which include pulmonary edema, shock, and death.",0
"The current widely accepted definition is called tissue-based because it is based on imaging, not time.",0
Orbital lymphoma is a common type of non-Hodgkin lymphoma that occurs near or on the eye.,0
The intestines are covered only by a thin layer of tissue and can be easily seen.,0
It may occur by spread from the blood or from surrounding tissue.,0
"This can lead to severe money problems, job loss, crime or fraud, and damage to family relationships.",0
What are the symptoms of Major depressive disorder.,0
Individual bruises change in appearance over time.,0
Smoking is the leading cause of COPD.,0
"Common causes of cramps include Dehydration or low amounts of potassium, sodium, calcium, or magnesium in the blood Medications such as Diuretics, which can cause you to lose too much fluid or minerals Statins, which lower cholesterol and can cause muscle injury Muscle fatigue or strain from overuse, too much exercise, or holding a muscle in the same position for a long time An injury can also cause leg pain from A torn or overstretched muscle strain Hairline crack in the bone stress fracture Inflamed tendon tendinitis Shin splints -- pain in the front of your leg related to overuse or repetitive pounding Other common causes of leg pain include Atherosclerosis that blocks blood flow in the arteries this type of pain, called claudication, is generally felt when exercising or walking and relieved by rest Blood clot deep vein thrombosis from prolonged bed rest Infection of the bone osteomyelitis or skin and soft tissue cellulitis Inflammation of the leg joints by arthritis or gout Nerve damage -- common in diabetics, smokers, and alcoholics symptoms include numbness, tingling, or a sensation of pins-and-needles Varicose veins Less common causes include Benign tumors or cysts of the femur or tibia osteoid osteoma Drugs such as allopurinol and corticosteroids Legg-Calve-Perthes disease -- poor blood flow to the hip that may stop or slow the normal growth of the leg Malignant bone tumors osteosarcoma, Ewing sarcoma Sciatic nerve pain radiating pain down the leg caused by a slipped disk in the back.",0
Babies with PKU are missing an enzyme called phenylalanine hydroxylase.,0
See for more detail.,0
"Bilateral‚sudden hearing loss‚is rare, occurring in 1-2% of cases,‚and simultaneous bilateral involvement is very rare.",0
"As the amount of blood going through your blood vessels increases, so does the force on your artery walls.",0
The fever lasts three to five days.,0
"Paraseptal emphysema preferentially localizes around the septae of the lungs or pleura, often associated with inflammatory processes, like prior lung infections.",0
"It binds to multiple organisms, such as group B streptococcus, , influenza virus, adenovirus, herpes simplex type 1, and respiratory syncytial virus.",0
#NAME.,0
"As the heart pumps against this pressure, it must work harder.",0
Table 1.,0
"Erysipelothrix rhusiopathiae can also infect humans, but in that case the infection is known as erysipeloid.",0
"Herpes simplex Herpes simplex virus 1, 2 skin and mucosal, transmissible with or without visible blisters HIV Human Immunodeficiency Virus‚venereal fluids, semen, breast milk, blood HPV Human Papillomavirus‚skin and mucosal contact.",0
"Genetics  The genetic component appears to be inherited in an autosomal dominant fashion with high genetic penetrance but variable expressivity in females; this means that each child has a 50% chance of inheriting the predisposing genetic variants from a parent, and, if a daughter receives the variants, the daughter will have the disease to some extent.",0
Children tend to develop higher fevers than adults.,0
The excess pressure from the fluid prevents the heart from working properly.,0
What are the symptoms of Childhood disintegrative disorder.,0
Symptoms may also occur if the aneurysm pushes on nearby structures in the brain or breaks open ruptures and causes bleeding into the brain.,0
malignancy.,0
See .,0
"‚It has a smooth, sharply demarcated texture and typically is freely movable.",0
A blood test may also show the presence of blast cells ‚ immature cells normally found in the bone marrow.,0
Doctors don't know why the cells fail or die.,0
"Causes   Eosinophilia can be idiopathic primary or, more commonly, secondary to another disease.",0
"Poor eyesight, inability to reach the toes easily, or having thick nails can make it hard to properly trim nails.",0
Curative therapy of supraventricular tachycardia with radiofrequency ablation is the treatment of choice.,0
Stimulation of fetal insulin release by maternal hyperglycemia during labor significantly increases the risk of early hypoglycemia in these infants.,0
It is important to note that PMDD is not the fault of the woman suffering from it or the result of a weak or unstable personality.,0
This view is supported by the earlier work of Hotchkiss et al.,0
Diarrhea or constipation Bloating Vomiting Other health problems may also cause these symptoms.,0
"Milder skin disease, such as that seen in VP and HCP, consists of increased skin fragility in exposed areas with a tendency to form blisters and erosions, particularly after minor knocks or scrapes.",0
It only causes a problem in certain settings.,0
"Prevention    Like other RNA viruses, the FMD virus continually evolves and mutates, thus one of the difficulties in vaccinating against it is the huge variation between, and even within, serotypes.",0
Abdominal lump - People can not find any lump at the beginning of the disease.,0
"With bulimia, eating binges may occur as often as several times a day for many months.",0
"In the past, metastatic testicular cancer was usually fatal, but advances in treatment, including high-dose chemotherapy and stem cell rescue, have considerably improved the prognosis.",0
"Inorganic mercury compounds    Mercury occurs as salts such as mercuric chloride HgCl2 and mercurous chloride Hg2Cl2, the latter also known as calomel.",0
It puts the mother's life in danger.,0
"The course of disease involves the spread of the organism to multiple organ systems, including the lungs, liver, spleen, and lymphatic system.",0
"Bland foods, such as gelatin, frozen desserts, broth, ginger ale, and saltine crackers, also soothe the stomach.",0
"And signs and symptoms are similar to those of other diseases, so it can be difficult to diagnose.",0
"Still, it is widely accepted and, although the clinical evidence is sparse, cryotherapy ice has been a mainstay of clinical practice for rehabilitation specialists.",0
"Fayers et al have found a decrease in corneal sensitivity in patients with blepharospasm, implying an impairment in cortical processing of sensory input, with a resultant loss of blink reflex inhibition.",0
"They then move up to the throat , where they are swallowed into the stomach .",0
"At the entrance site, a painless small lesion, or bump, arises within two to eight weeks and grows.",0
Many chemicals are known to cause neuropathy in laboratory animals.,0
"Often, features of the primary illness, such as cirrhosis or of an associated malignancy, dominate the clinical picture.",0
Lab analysis will reveal the makeup of your kidney stones.,0
"However, the chemicals produced by an immune response can damage the heart muscle.",0
HSV-2 causes primarily anogenital infections.,0
"The fungi most commonly observed to cause chromoblastomycosis are  Fonsecaea pedrosoi Phialophora verrucosa Cladophialophora carrionii Fonsecaea compactaOver months to years, an erythematous papule appears at the site of inoculation.",0
The ascending aorta is the anterior tubular portion of the thoracic aorta from the aortic root proximally to the innominate artery distally.,0
"These medicines work very well to reduce joint swelling and inflammation, but they can have long-term side effects.",0
"The test is performed by slowly extending the knee from 90 degrees, maintaining internal rotation.",0
Most of the remainder are nonfunctional.,0
"In advanced Hodgkin's lymphoma, chemotherapy may be used alone or combined with radiation therapy.",0
You may be admitted to the hospital.,0
The pathophysiology of tardive dystonia is not well understood.,0
Medicines such as acetaminophen are helpful in fighting a fever and chills.,0
"Call your health care provider if you have ulcerative colitis and your symptoms worsen or do not improve with treatment, or if new symptoms develop.",0
"If a physical exam is done during an attack, the exam will usually reveal Horner syndrome one-sided eyelid drooping or a small pupil.",0
Melanoma of the vulva behaves like melanoma in any other location and may affect a much younger population.,0
Medicines that are often used include Digitalis to strengthen the heart's pumping ability Diuretics water pills to remove excess fluid Low-dose beta-blockers  Other blood pressure medicines A low-salt diet may be recommended.,0
"It is difficult to quantify by subjective complaints or clinical examinations alone, hence both clinicians and researchers depend both on concurrent subjective assessment and on objective measurement of the nasal airway.",0
"Most persons appear to have been exposed to this organism during their lifetime, as 50%-100% of healthy people have serum antibodies directed against This amoeba has been isolated from the nasopharynx of healthy persons.",0
"Often, if the clinical situation is very classical in presentation, a biopsy may be unnecessary.",0
The auditory pitch sound of the flatulence outburst can also be affected by the anal embouchure.,0
Most articles in the neonatology section discuss in detail the most serious of these problems.,0
Rectovaginal fistula.,0
"They cause the recruitment of additional inflammatory mediators, resulting in direct cellular damage and changes in the complement pathway, which provide the necessary stimuli to increase vascular permeability and migration of leukocytes to the lung.",0
"When ventilating at high frequencies, its contribution can be substantial, particularly in people with obstructive lung disease such as asthma or chronic obstructive pulmonary disease COPD.",0
"However, the benefits of these treatments have not yet been proven.",0
The activation of the H2 histamine receptors leads to arteriolar and venule vasodilation.,0
HAE type III is rare and has only been documented recently.,0
All people with tetanus should receive the tetanus vaccine as soon as they're diagnosed with the condition.,0
