text,label
"Kyphosis is an exaggerated, forward rounding of the back.",0
" Systemic amyloidosis can be classified as follows: (1) primary systemic amyloidosis (PSA), usually with no evidence of preceding or coexisting disease, paraproteinemia, or plasma-cell dyscrasia; (2) amyloidosis associated with multiple myeloma; or (3) secondary systemic amyloidosis with evidence of coexisting previous chronic inflammatory or infectious conditions.",0
"Generalized anxiety disorder (GAD) is a pattern of frequent, constant worry and anxiety over many different activities and events.",0
"The most common symptoms are diarrhea, fever, abdominal cramps, and vomiting.",0
"Nonpurulent cellulitis is associated with the 4 cardinal signs of infection, as follows: Erythema Pain Swelling Warmth Physical examination findings that suggest the most likely pathogen include the following: Skin infection without underlying drainage, penetrating trauma, eschar, or abscess is most likely caused by streptococci; often community-acquired MRSA, is the most likely pathogen when these factors are present Violaceous color and bullae suggest more serious or systemic infection with organisms such as or The following findings suggest severe infection: Malaise, chills, fever, and toxicity Lymphangitic spread (red lines streaking away from the area of infection) Circumferential cellulitis Pain disproportionate to examination findings Indications for emergent surgical evaluation are as follows : Violaceous bullae Cutaneous hemorrhage Skin sloughing Skin anesthesia Rapid progression Gas in the tissue Hypotension See for more detail.",0
Most of the time they are harmless.,0
"The extra digit is most commonly an abnormal fork in an existing digit, or it may rarely originate at the wrist as a normal digit does.The incidence of congenital deformities in newborns is approximately 2%, and 10% of these deformities involve the upper extremity.",0
"Alström syndrome is a very rare disease passed down through families ( inherited ) that can lead to blindness , deafness , diabetes , and obesity .",0
Validated clinical prediction rules should be used to estimate pretest probability of pulmonary embolism and to interpret test results.,0
"Thrombocytopenia can be contrasted with thrombocytosis, an abnormally high level of platelets in the blood.",0
These usually go away 1 to 2 days after the menstrual period starts.,0
Also call your doctor if cystitis symptoms return after you've finished a course of antibiotics.,0
"Similarly, antidyslipidemic therapy for those patients with hyperlipidemia likely provides benefit in atherosclerotic RVHT.",0
"Newer paradigms and metrics are evolving to bypass animal testing, while maintaining the concept of toxicity endpoints.",0
"Effective treatments for hepatitis C are available but costly.In 2013, about 1.5 million people died from viral hepatitis, most commonly due to hepatitis B and C. East Asia, in particular Mongolia, is the region most affected.",0
Antibiotics and chest physiotherapy are the mainstay modalities.,0
"Paralytic poliomyelitis may manifest as: constipation, muscle weakness and pain, and changes in sensitivity.",0
"These drugs exhibit powerful antimalarial, as well as anti-inflammatory and immunomodulating, efficacy and thus are used to treat various autoimmune disorders such as systemic lupus and rheumatoid arthritis in addition to malaria.",0
You may be given  medicine to make you sleepy  and to numb the area.,0
"Normal rhythm   A circadian rhythm is an entrainable, endogenous, biological activity that has a period of roughly twenty-four hours.",0
"Signs and symptoms of late dumping syndrome can include: Sweating Flushing Dizziness, lightheadedness Weakness Rapid heart rate Some people have both early and late signs and symptoms.",0
"This is a defining symptom of the infection in children (hence the name ""slapped cheek disease"").",0
"Newborns will typically not develop a primary syphilitic chancre, but may present with signs of secondary syphilis (i.e.",0
"Mixed stones usually are smaller, multiple in number, and occur in various shapes and colors.",0
"If you have thoughts of hurting yourself or someone else, call 911 or your local emergency number immediately, go to an emergency room, or confide in a trusted relative or friend.",0
Who is at highest risk?,0
Other viruses that can cause bronchiolitis include: Adenovirus Influenza Parainfluenza The virus is spread to infants by coming into direct contact with nose and throat fluids of someone who has the illness.,0
A lower esophageal ring is a birth defect of the esophagus that occurs in a small number of people.,0
"Late effects    Late effects are of two kinds:  consequences of the tumor itself, and consequences of surgery and other treatments for the tumor.",0
"While the exact association between trichomoniasis infection and HIV genital shedding has not been consistently demonstrated, ""there is good evidence that TV treatment reduces HIV genital shedding.",0
The QT interval represents the duration of activation and recovery of the ventricular myocardium.,0
Call 911 or your local emergency number if someone has been bitten by a snake.,0
"To determine if your heartburn is a symptom of GERD, your doctor may recommend: X-ray,  to view the shape and condition of your esophagus and stomach.",0
This self-limited process may recur more intensely with subsequent exposures to the same species.,0
"Psoriasis may cause pitting, splitting of the nail plate from the nail bed, and chronic destruction of the nail plate ( nail dystrophy ).",0
"Cough is prominent, with scant sputum production and may persist for weeks to months despite therapy, along with malaise.",0
Nutritional rickets is due to unhealthy life style habits as insufficient exposure to sun light which is the main source of vitamin D. Insufficient dietary intake of calcium is another contributing factor.,0
"Signs and symptoms   Symptoms usually include one or more of the following: orthopnea (difficulty breathing while lying flat), dyspnea (shortness of breath) on exertion, pitting edema (swelling), cough, frequent night-time urination, excessive weight gain during the last month of pregnancy (1-2+ kg/week; two to four or more pounds per week),  palpitations (sensation of racing heart-rate, skipping beats, long pauses between beats, or fluttering), and chest pain.The shortness of breath is often described by PPCM patients as the inability to take a deep or full breath or to get enough air into the lungs.",0
"This process could be due to a primary vascular event, a definite traumatic event, or multiple additive traumas.",0
The national Advisory Committee on Immunization Practices recommends routine HPV vaccination for girls and boys ages 11 and 12.,0
"Blood tests may show: Raised IgM and IgG antibodies to hepatitis A (IgM is usually positive before IgG) IgM antibodies which appear during the acute infection Elevated liver enzymes (liver function tests), especially transaminase enzyme levels There is no specific treatment for hepatitis A.",0
These factors place you at increased risk of anemia: A diet lacking in certain vitamins.,0
"The association of pica, iron deficiency, and a number of pathophysiologic states with decreased activity of the dopamine system suggests the possibility of a correlation between diminished dopaminergic neurotransmission and the expression and maintenance of pica.",0
"If the enlarged node is just under the skin, this is a fairly simple operation that can often be done with local anesthesia (numbing medicine).",0
